timestamp_ms,apps1_pct,apps2_pct,brake_raw,brake_latched,pedal_pressed,mismatch_fault,brake_throttle_fault,active_fault,implausibility
21854,?,?,0,0,0,1,0,1,1
21892,?,?,0,0,0,1,0,1,1
21931,?,?,0,0,0,1,0,1,1
21968,?,?,0,0,0,1,0,1,1
22007,?,?,0,0,0,1,0,1,1
22046,?,?,0,0,0,1,0,1,1
22084,?,?,0,0,0,1,0,1,1
22123,?,?,0,0,0,1,0,1,1
22161,?,?,0,0,0,1,0,1,1
22200,?,?,0,0,0,1,0,1,1
22239,?,?,0,0,0,1,0,1,1
22277,?,?,0,0,0,1,0,1,1
22316,?,?,0,0,0,1,0,1,1
22353,?,?,0,0,0,1,0,1,1
22392,?,?,0,0,0,1,0,1,1
22430,?,?,0,0,0,1,0,1,1
22469,?,?,0,0,0,1,0,1,1
22508,?,?,0,0,0,1,0,1,1
22548,?,?,0,0,0,1,0,1,1
22585,?,?,0,0,0,1,0,1,1
22623,?,?,0,0,0,1,0,1,1
22662,?,?,0,0,0,1,0,1,1
22700,?,?,0,0,0,1,0,1,1
22738,?,?,0,0,0,1,0,1,1
22777,?,?,0,0,0,1,0,1,1
22815,?,?,0,0,0,1,0,1,1
22854,?,?,0,0,0,1,0,1,1
22892,?,?,0,0,0,1,0,1,1
22931,?,?,0,0,0,1,0,1,1
22970,?,?,0,0,0,1,0,1,1
23008,?,?,0,0,0,1,0,1,1
23047,?,?,0,0,0,1,0,1,1
23085,?,?,0,0,0,1,0,1,1
23123,?,?,0,0,0,1,0,1,1
23161,?,?,0,0,0,1,0,1,1
23200,?,?,0,0,0,1,0,1,1
23239,?,?,0,0,0,1,0,1,1
23277,?,?,0,0,0,1,0,1,1
23316,?,?,0,0,0,1,0,1,1
23363,?,?,0,0,0,1,0,1,1
23395,?,?,0,0,0,1,0,1,1
23431,?,?,0,0,0,1,0,1,1
23470,?,?,0,0,0,1,0,1,1
23508,?,?,0,0,0,1,0,1,1
23546,?,?,0,0,0,1,0,1,1
23585,?,?,0,0,0,1,0,1,1
23623,?,?,0,0,0,1,0,1,1
23662,?,?,0,0,0,1,0,1,1
23700,?,?,0,0,0,1,0,1,1
23739,?,?,0,0,0,1,0,1,1
23778,?,?,0,0,0,1,0,1,1
23816,?,?,0,0,0,1,0,1,1
23855,?,?,0,0,0,1,0,1,1
23892,?,?,0,0,0,1,0,1,1
23931,?,?,0,0,0,1,0,1,1
23970,?,?,0,0,0,1,0,1,1
24008,?,?,0,0,0,1,0,1,1
24047,?,?,0,0,0,1,0,1,1
24085,?,?,0,0,0,1,0,1,1
24126,?,?,0,0,0,1,0,1,1
24162,?,?,0,0,0,1,0,1,1
24201,?,?,0,0,0,1,0,1,1
24240,?,?,0,0,0,1,0,1,1
24278,?,?,0,0,0,1,0,1,1
24316,?,?,0,0,0,1,0,1,1
24354,?,?,0,0,0,1,0,1,1
24393,?,?,0,0,0,1,0,1,1
24431,?,?,0,0,0,1,0,1,1
24470,?,?,0,0,0,1,0,1,1
24509,?,?,0,0,0,1,0,1,1
24547,?,?,0,0,0,1,0,1,1
24586,?,?,0,0,0,1,0,1,1
24624,?,?,0,0,0,1,0,1,1
24663,?,?,0,0,0,1,0,1,1
24701,?,?,0,0,0,1,0,1,1
24739,?,?,0,0,0,1,0,1,1
24778,?,?,0,0,0,1,0,1,1
24816,?,?,0,0,0,1,0,1,1
24855,?,?,0,0,0,1,0,1,1
24893,?,?,0,0,0,1,0,1,1
24934,?,?,0,0,0,1,0,1,1
24971,?,?,0,0,0,1,0,1,1
25009,?,?,0,0,0,1,0,1,1
25048,?,?,0,0,0,1,0,1,1
25085,?,?,0,0,0,1,0,1,1
25124,?,?,0,0,0,1,0,1,1
25162,?,?,0,0,0,1,0,1,1
25201,?,?,0,0,0,1,0,1,1
25240,?,?,0,0,0,1,0,1,1
